Location Name,Impressions
Alabama,40
Alaska,4
Arizona,45
Arkansas,17
California,281
Colorado,49
Connecticut,28
Delaware,17
Florida,252
Georgia,110
Hawaii,3
Idaho,9
Illinois,96
Indiana,68
Iowa,17
Kansas,23
Kentucky,31
Louisiana,42
Maine,10
Maryland,65
Massachusetts,58
Michigan,86
Minnesota,58
Mississippi,26
Missouri,47
Montana,5
Nebraska,14
Nevada,23
New Hampshire,5
New Jersey,79
New Mexico,19
New York,207
North Carolina,106
North Dakota,7
Ohio,106
Oklahoma,31
Oregon,19
Pennsylvania,94
Rhode Island,4
South Carolina,57
South Dakota,3
Tennessee,51
Texas,230
United States,0
Utah,13
Vermont,4
Virginia,85
Washington,66
West Virginia,11
Wisconsin,47
Wyoming,1
