Date,Clicks,Phone calls,Avg. CPC,Cost
"Sun, Sep 24, 2023",0,0,₹0.00,₹0.00
"Mon, Sep 25, 2023",0,0,₹0.00,₹0.00
"Tue, Sep 26, 2023",19,8,₹506.56,"₹9,624.66"
"Wed, Sep 27, 2023",27,18,₹681.41,"₹18,398.10"
"Thu, Sep 28, 2023",44,18,₹620.50,"₹27,302.09"
"Fri, Sep 29, 2023",49,19,₹624.58,"₹30,604.65"
"Sat, Sep 30, 2023",16,10,₹300.53,"₹4,808.41"
"Sun, Oct 1, 2023",5,2,₹105.37,₹526.86
"Mon, Oct 2, 2023",27,8,₹883.49,"₹23,854.11"
"Tue, Oct 3, 2023",42,21,₹794.24,"₹33,358.20"
"Wed, Oct 4, 2023",6,1,₹706.17,"₹4,237.03"
